Country,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
    World,58.23258837,61.08645329,62.74673324,64.27966955,64.71194472,66.61965636,67.39271722,71.51639106,72.37883807,72.60241102,76.36698918,79.09507412,80.39559287,83.77435521
        Afghanistan,0.00671995,0.00600024,0.00625767,0.007792387,0.00947114,0.007906791,0.011515596,0.012693347,0.013447287,0.01750106,0.020291574,0.02147429,0.022417966,0.02479872
        Albania,0.054935017,0.054889212,0.054450533,0.051193701,0.036963096,0.045345994,0.055637508,0.071788454,0.050051237,0.054845992,0.069469336,0.055060114,0.059447961,0.065754712
        Algeria,0.004438286,0.004171968,0.008273829,0.005318928,0.006356025,0.006832138,0.009274942,0.011050245,0.017627776,0.01934655,0.012235157,0.010251108,0.006952502,0.006208059
        American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Angola,0.012443625,0.017357728,0.021967803,0.026166322,0.024433248,0.030576962,0.02989488,0.035863056,0.038650248,0.035665968,0.045167094,0.04796844,0.047498943,0.05474576
        Antarctica,0,0,0.000019998,0.000019838,0.000019768,0.000019708,0.00003904,0.000039024,0.000038864,0.000009516,0.000009541,0.00000951,0.000009319,0.000009232
        Antigua and Barbuda,0,0,0,0,0,0,0,1.95E-06,0.000004858,0.000004758,5.72E-06,0.000005706,0.000046595,0.000055392
        Argentina,0.449515401,0.415958115,0.441273249,0.491044104,0.432466748,0.414329618,0.45244558,0.454045108,0.505107417,0.470739056,0.508466579,0.506688901,0.483630551,0.484565204
        Armenia,0.040263038,0.043099449,0.044143688,0.044970114,0.045578024,0.04406082,0.04624599,0.048785267,0.047585861,0.041366872,0.042005675,0.041580114,0.046269947,0.043991887
        Aruba,0,0,0,0,0,0,0.0002928,0.001035112,0.001102766,0.001303692,0.001459773,0.00153111,0.001686739,0.00133864
        Australia,0.180760516,0.177839371,0.19407435,0.20745971,0.190994651,0.162281822,0.171065957,0.197379055,0.235443571,0.228842107,0.286833798,0.322869124,0.289596282,0.327778514
        Austria,0.409139959,0.444098457,0.454823926,0.467288237,0.492823559,0.498626619,0.488556345,0.469251669,0.44557401,0.518537962,0.529329847,0.525253347,0.491241869,0.507394504
        Azerbaijan,0.030303648,0.031971012,0.033888245,0.027754511,0.022316504,0.019743788,0.02138036,0.032062084,0.02342776,0.01531828,0.014101982,0.01269628,0.016359663,0.016692088
        Bahrain,0,0,0,0.000010236,0.000044356,-0.000638426,0.000592736,0.000609788,0.000438588,-0.000511731,7.52E-05,0.000095826,0.000056575,0.000025084
        Bangladesh,0.01131975,0.012199488,0.012858714,0.013757653,0.007551376,0.009489402,0.00459696,0.008351136,0.009539169,0.00780312,0.010380608,0.00734172,0.007073121,0.010967616
        Barbados,0,0,0,0,0,0,0,0.000019512,0.000029148,0.000028548,0.000038164,0.0000951,0.000130466,0.00027696
        Belarus,0.01985547,0.013977601,0.016688306,0.018632716,0.01842745,0.009279497,0.018155174,0.012766617,0.022888385,0.030449533,0.02691058,0.015925707,0.013488851,0.015755401
        Belgium,0.510965857,0.521657972,0.522355367,0.528240253,0.545925527,0.560579877,0.518584256,0.540739719,0.5680474,0.528824445,0.567178481,0.513457525,0.470043721,0.594571092
        Belize,0.001424493,0.001616528,0.001696565,0.002660644,0.00269508,0.003004202,0.002718272,0.003881496,0.003886892,0.003714436,0.004032807,0.004190066,0.004243538,0.004346508
        Benin,0.00179449,0.001982152,0.002040139,0.002062675,0.002015084,0.00229816,0.002974312,0.003451984,0.003472376,0.00376882,0.003703347,0.003232398,0.003641009,0.003808911
        Bermuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Bhutan,0.019099026,0.017857828,0.020410628,0.035878314,0.045929084,0.047728758,0.049393788,0.052196082,0.049920905,0.047688237,0.05328161,0.051448133,0.053710679,0.053425
        Bolivia,0.020493333,0.021881988,0.020008027,0.021772304,0.023306573,0.023492021,0.023366282,0.022233942,0.023765336,0.023228685,0.025798938,0.02309981,0.024723307,0.018860976
        Bosnia and Herzegovina,0.041875793,0.047140374,0.043196156,0.038025122,0.023955322,0.027997757,0.039702361,0.050636415,0.025764007,0.034485797,0.048886886,0.036985788,0.036594,0.029705358
        Botswana,0.006394088,0.00651692,0.0067387,0.007530284,0.008594828,0.009307936,0.009529716,0.01018482,0.010710268,0.011164064,0.00963751,0.005764828,0.005027454,0.00572674
        Brazil,3.529451283,3.613043903,3.750606764,3.891650017,4.144215569,4.144220524,4.286081734,4.536330413,4.797462995,4.636515007,4.485178681,4.38979155,4.305553153,4.586266482
        British Virgin Islands,0,0,0,0,0,0,0,1.07E-05,1.07E-05,1.05E-05,1.05E-05,0.000010461,1.21E-05,1.20E-05
        Brunei,0,0,0,0,0,0,0,0,0,0.000019032,0.000019082,0.00001902,0.000018638,0.000009232
        Bulgaria,0.195345233,0.186819644,0.211036497,0.220324035,0.171829982,0.175820741,0.177140565,0.185789578,0.171303253,0.187391581,0.193111007,0.20532819,0.209026281,0.212152719
        Burkina Faso,0.001207428,0.001329152,0.001416401,0.001267788,0.001510328,0.001794322,0.0017733,0.002503852,0.00256338,0.002765876,0.002922894,0.002627468,0.00250399,0.003598984
        Burma,0.022559354,0.023880889,0.029698257,0.032727547,0.035501496,0.03981551,0.050801061,0.049374287,0.072369011,0.073227585,0.08342757,0.083317133,0.087112622,0.081719122
        Burundi,0.001189924,0.001116396,0.001192157,0.001168448,0.001409268,0.001353106,0.001485104,0.001757296,0.001649448,0.00173664,0.001763504,0.00173358,0.001697445,0.00177216
        Cabo Verde,0.000050625,0.000060096,0.000059994,0.000069433,0.000069188,0.000059124,0.00006832,0.000039024,0.0002429,0.000675636,0.000791903,0.0008559,0.000792115,0.000766256
        Cambodia,0.000540481,0.000482088,0.000688889,0.000828983,0.000993896,0.00155266,0.003042708,0.005169591,0.006331227,0.012272763,0.017520866,0.023776719,0.024043207,0.029757982
        Cameroon,0.035366625,0.038872096,0.037336266,0.044595824,0.03839934,0.042047018,0.03949872,0.041726412,0.042915572,0.040029924,0.042874523,0.045598934,0.040537352,0.043029788
        Canada,4.268555351,4.413668492,4.589612185,4.563451744,4.600466276,4.69276137,4.572922963,4.498996644,4.730437046,4.682929486,4.939078815,4.953822576,4.82602182,4.866896545
        Cayman Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000036928
        Central African Republic,0.000840375,0.001241984,0.001329867,0.001378741,0.001344224,0.001340144,0.0013176,0.00130828,0.001421451,0.00142169,0.001310933,0.001601484,0.00156932,0.001563901
        Chad,0,0,0,0,0,0,0,0,0,0,9.54E-07,9.51E-07,2.80E-06,8.59E-05
        Chile,0.248072171,0.245579249,0.28846051,0.307063778,0.258585391,0.271792097,0.291153661,0.238337251,0.254918961,0.2410236,0.24879421,0.284924727,0.300661022,0.310842489
        China,2.882353583,3.607036403,4.123112813,4.457170673,4.985812992,6.292353225,7.032450769,8.228293665,8.40562364,10.36688929,11.51837476,13.19468889,14.3630817,15.91730422
        Colombia,0.351907939,0.374286066,0.363650489,0.396017648,0.401685596,0.419392128,0.375455386,0.36287892,0.441386432,0.413794431,0.426374862,0.404822439,0.405077719,0.41292192
        Comoros,0.0000405,0.00005008,0.000049995,0.000049595,0.00004942,0.00004927,0.0000488,0.00004878,0.00004858,0.000028548,0.000019082,0.00001902,0.000018638,0.000018464
        Congo-Brazzaville,0.004657283,0.00465368,0.004935865,0.005052524,0.004813476,0.005143466,0.0046928,0.005114828,0.007700724,0.009383384,0.009298007,0.008947625,0.010070832,0.010308732
        Congo-Kinshasa,0.057211114,0.065425784,0.067505113,0.069380647,0.071997616,0.07098194,0.072698536,0.072945136,0.074700504,0.07360002,0.07989759,0.086878948,0.081092207,0.08204632
        Cook Islands,0,0,1.00E-06,9.92E-07,9.88E-07,9.85E-07,9.76E-07,9.76E-07,9.72E-07,9.52E-07,7.63E-06,0.00001902,0.000037276,0.000055392
        Costa Rica,0.073843649,0.079913969,0.079866611,0.080497589,0.082119554,0.085734617,0.085836478,0.086649872,0.086295193,0.088307428,0.085755535,0.087313103,0.098645685,0.09848293
        Croatia,0.060818185,0.080013702,0.078879452,0.077120287,0.063100927,0.072719377,0.083566607,0.104156021,0.076055186,0.075795196,0.101639265,0.107911893,0.093325604,0.096287801
        Cuba,0.008880681,0.00912081,0.005105031,0.005231221,0.005516228,0.007085106,0.00691284,0.005556992,0.005700353,0.006600847,0.007968788,0.007512545,0.007537968,0.007581476
        Cyprus,0,0,0.000009999,0.000009919,0.000029652,0.00014781,0.00030256,0.000702432,0.001729448,0.002445612,0.003138989,0.00295761,0.003699643,0.003905136
        Czech Republic,0.234775894,0.25091235,0.239861982,0.260487349,0.255069935,0.271715262,0.28662828,0.306020387,0.315968903,0.342344638,0.359201576,0.350120534,0.329133949,0.305657781
        Côte d’Ivoire,0.013839026,0.0136019,0.010559491,0.012308037,0.016088209,0.017636621,0.019649792,0.015141236,0.015679236,0.015483432,0.01304022,0.015713846,0.010587805,0.015618728
        Denmark,0.060327492,0.093316339,0.111986208,0.076902043,0.107486132,0.11400613,0.107693901,0.125310885,0.150450895,0.166511118,0.163408813,0.188125707,0.204168736,0.194416383
        Djibouti,0,0,0,0,0,0,0,0,0,0.000004758,4.77E-06,0.000004755,4.66E-06,0.000004616
        Dominica,0.000293625,0.000340544,0.000271973,0.000269797,0.000210529,0.000200036,0.000238144,0.000238046,0.000353662,0.000260738,0.000356833,0.000298614,0.000236703,0.000345277
        Dominican Republic,0.012541977,0.016729751,0.019131735,0.017650167,0.017197608,0.013948386,0.014586116,0.014299916,0.015284756,0.018196928,0.021095904,0.015740631,0.01240483,0.018268471
        Ecuador,0.075571461,0.078980492,0.07445742,0.082096731,0.100626612,0.113833112,0.095005788,0.08869004,0.11419072,0.118902736,0.109868145,0.11527486,0.127480363,0.149278976
        Egypt,0.121657112,0.118299175,0.118348127,0.121511591,0.14919355,0.141370059,0.125384264,0.133612566,0.135042221,0.137250469,0.140880773,0.144375389,0.145054769,0.144723194
        El Salvador,0.02664445,0.025823896,0.029041304,0.032173412,0.032368222,0.035597804,0.031233766,0.037272012,0.036541951,0.034917526,0.035880719,0.035728268,0.032477443,0.032599264
        Equatorial Guinea,0.000070875,0.000070112,0.000769923,0.000763763,0.000761068,0.000512408,0.00050752,0.000273168,0.000272048,0.00076128,0.002394791,0.00360429,0.003625091,0.00521608
        Eritrea,0.000010125,0.000010016,0.000009999,0.000019838,0.000019768,0.000019708,0.00001952,0.000039024,0.000038864,0.000038064,0.000038164,0.00003804,0.000037276,0.000036928
        Estonia,-0.00596054,-0.005537479,-0.004334821,-0.001292346,-0.006814951,-0.001256923,0.005567721,-0.000912513,-0.000686725,0.006425165,-1.74E-05,0.004541842,0.012094598,0.008310264
        Eswatini,0.00586835,0.00539298,0.006604901,0.006054851,0.006577752,0.006743772,0.006779996,0.006778544,0.007083408,0.007084704,0.006821425,0.00754667,0.007288192,0.0066105
        Ethiopia,0.023338125,0.02549072,0.028577142,0.032544239,0.03355618,0.032775389,0.034769024,0.048393662,0.059910901,0.069887732,0.080368723,0.087464119,0.094390347,0.110622735
        Falkland Islands,0,0,0,0,0,0.000019708,0.00001952,0.00004878,0.000058296,0.000066612,0.000066787,0.00006657,0.000083871,0.000083088
        Faroe Islands,0.000891,0.001011616,0.001079892,0.001140685,0.001176196,0.001064232,0.00103456,0.000790236,0.001039612,0.00104676,0.001059051,0.00148356,0.001751972,0.001449424
        Fiji,0.00443475,0.004717536,0.004410559,0.004494299,0.00596104,0.005952801,0.005378736,0.004715075,0.005140736,0.00561444,0.005600567,0.00460284,0.004454482,0.005114528
        Finland,0.445009297,0.508806472,0.535848394,0.501488366,0.529979897,0.558705473,0.492376594,0.508842975,0.523546275,0.566567909,0.540554848,0.554048227,0.580696632,0.583232125
        Former Czechoslovakia,--,--,--,--,--,--,--,--,--,--,--,--,--,--
        Former Serbia and Montenegro,0.117876003,0.125743236,0.133011463,--,--,--,--,--,--,--,--,--,--,--
        Former U.S.S.R.,--,--,--,--,--,--,--,--,--,--,--,--,--,--
        Former Yugoslavia,--,--,--,--,--,--,--,--,--,--,--,--,--,--
        France,4.787307003,4.857860207,4.850138716,4.876486418,4.822980933,4.926399827,4.669420829,4.961005033,4.886473983,4.919467003,5.001890222,5.03780598,5.018237467,4.815138403
        French Guiana,0.005781375,0.005939488,0.006159384,0.006338241,0.006553092,0.006789406,0.00693936,0.007297488,0.006791484,0.00589992,0.005218927,0.00536364,0.005181364,0.004671392
        French Polynesia,0.00155925,0.001782848,0.001789821,0.0019838,0.002204132,0.002089048,0.00205936,0.002705339,0.002237595,0.002058311,0.001977849,0.001885833,0.001894553,0.002061506
        Gabon,0.00909225,0.008924256,0.008109189,0.009353617,0.0079072,0.008799622,0.00921344,0.008848692,0.008180872,0.008678592,0.009586807,0.008912836,0.009732643,0.00999952
"        Gambia, The",0,0,0.000009999,0.000009919,0.000019768,0.000019708,0.000030256,3.22E-05,3.50E-05,2.95E-05,2.96E-05,0.000029481,2.89E-05,2.86E-05
        Georgia,0.069478271,0.065843035,0.06805184,0.055897755,0.068769263,0.072030254,0.072018643,0.088949238,0.078062858,0.072118808,0.082632772,0.083144501,0.081700196,0.089363819
        Germany,2.265780846,2.358237969,2.313800377,2.428875122,2.348078873,2.449150676,2.306238064,2.500664316,2.37629192,2.38325849,2.415580527,2.504449077,2.587531765,2.483475315
"        Germany, East",--,--,--,--,--,--,--,--,--,--,--,--,--,--
"        Germany, West",--,--,--,--,--,--,--,--,--,--,--,--,--,--
        Ghana,0.040245992,0.053230628,0.056464925,0.054852087,0.037215668,0.05969489,0.064711992,0.064552992,0.070798396,0.074346028,0.076233734,0.077573208,0.052892103,0.052416944
        Gibraltar,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Greece,0.067856087,0.069934646,0.07756755,0.090256076,0.060315203,0.075704185,0.094477826,0.123127273,0.091116572,0.094798572,0.144067369,0.14673399,0.16926857,0.169424384
        Greenland,0.0018225,0.001923072,0.002029797,0.001944124,0.002016336,0.001990508,0.0025864,0.002858508,0.00325486,0.003254472,0.003568334,0.00372792,0.003904661,0.003665104
        Grenada,0,0,0,0,9.88E-07,9.85E-07,9.76E-07,2.05E-05,3.01E-05,2.95E-05,2.96E-05,0.00014265,0.000018638,0.000027696
        Guadeloupe,0.00216675,0.002343744,0.002179782,0.002221856,0.002243668,0.002079194,0.00213744,0.002126808,0.002263828,0.001941264,0.001927282,0.00207318,0.001947671,0.001818704
        Guam,0,0,0,0,0,0,9.76E-07,1.95E-06,1.94E-06,5.71E-06,0.000019082,0.00002853,0.000288889,0.000609312
        Guatemala,0.041950061,0.040313428,0.04209749,0.04540713,0.046140436,0.046997824,0.041841836,0.055675449,0.058057697,0.061219496,0.065791454,0.068595332,0.060929494,0.065885872
        Guinea,0.0040095,0.005498784,0.004889511,0.004523064,0.005268172,0.005163496,0.005054704,0.004711172,0.004021452,0.00463334,0.004598762,0.00406077,0.008321867,0.010099808
        Guinea-Bissau,0,0,0,0,0,0,0,0,0,0,0,0.000002853,0.000009319,0.000009232
        Guyana,0.000516375,0.000560896,0.000451955,0.000449331,0.000468502,0.000447372,0.00044408,0.000464386,0.000522721,0.000437736,0.000400722,0.00053256,0.000532115,0.000462523
        Haiti,0.0025515,0.002574112,0.002619738,0.002658292,0.001502368,0.001763866,0.0020008,0.00171608,0.001174664,0.002103036,0.001354822,0.00086541,0.000857348,0.00083088
        Hawaiian Trade Zone,--,--,--,--,--,--,--,--,--,--,--,--,--,--
        Honduras,0.018955567,0.015990116,0.01879872,0.021771778,0.02314061,0.024253931,0.028508168,0.032909571,0.03073777,0.032192784,0.031092196,0.031066388,0.035194866,0.040825911
        Hong Kong,0.025211268,0.023031,0.022188236,0.021740947,0.023634572,0.02474003,0.024685344,0.027868932,0.027315816,0.032658972,0.029290823,0.031927604,0.036982836,0.036554912
        Hungary,0.137298164,0.152074382,0.176221958,0.161970571,0.166054706,0.17030462,0.187607283,0.187079981,0.189386929,0.192899608,0.200179482,0.213270618,0.221118728,0.217038349
        Iceland,0.08668961,0.086996961,0.08697728,0.098422003,0.118433078,0.161740852,0.163637225,0.164018018,0.164315354,0.165701501,0.172406933,0.170119827,0.173541738,0.168399762
        India,1.120515885,1.213570292,1.424069131,1.607859463,1.72748783,1.613692188,1.63727729,1.745100687,2.104673661,2.032764425,2.310680368,2.376534206,2.36102889,2.643291466
        Indonesia,0.156717128,0.164365093,0.173799528,0.162108163,0.181658746,0.196311472,0.203004284,0.262792036,0.214579732,0.215547947,0.255227983,0.253343608,0.237308943,0.303691685
        Iran,0.12305638,0.119335345,0.178134489,0.197878279,0.19153065,0.061532611,0.078606605,0.106647377,0.12903077,0.136961313,0.180982626,0.169374221,0.163815133,0.208228791
        Iraq,0.004343625,0.009384824,0.063628352,0.069032621,0.063623988,0.044140176,0.05023922,0.064596912,0.057353904,0.076075608,0.087000679,0.069940502,0.06873523,0.072157988
        Ireland,0.015614418,0.019446549,0.025822992,0.030591129,0.0321222,0.036822868,0.042642586,0.037942408,0.054309578,0.052218754,0.062457204,0.069261763,0.076804318,0.068031438
        Israel,-0.004580265,-0.004587484,-0.005297843,-0.006043753,-0.006863156,-0.012193064,-0.011941356,-0.011873472,-0.011480948,-0.010523064,-0.010503189,-0.007769018,-0.006418898,-0.003571863
        Italy,0.674828697,0.738579867,0.691881182,0.6924306,0.65890903,0.730773769,0.839546153,0.911231092,0.974368553,1.033974295,1.247716616,1.336325144,1.210906868,1.155697006
        Jamaica,0.001488375,0.002013216,0.002359764,0.002539264,0.002441348,0.002542332,0.00315248,0.00321948,0.003682364,0.003968172,0.003644662,0.00379449,0.003932618,0.004929888
        Japan,3.703268171,4.127593072,4.121248819,4.316769036,3.970483271,3.659693593,3.85221791,4.152170947,2.903984914,1.403975318,1.617327055,1.663270439,1.807700227,1.850966003
        Jordan,0.003842767,0.00333286,0.0031819,0.002172093,0.000863159,0.001515426,0.001538366,0.002873881,0.006269489,0.003006258,0.002219774,0.003563753,0.004827217,0.01089598
        Kazakhstan,0.105410037,0.097680288,0.101925296,0.097537284,0.100292608,0.095422897,0.092942991,0.110077498,0.108920824,0.100352254,0.093072912,0.098065802,0.110683992,0.126495565
        Kenya,0.044438113,0.042265718,0.043126524,0.045173907,0.047380944,0.040783171,0.036482624,0.049571382,0.049733519,0.057215947,0.0565992,0.061035583,0.079151308,0.074118984
        Kiribati,0,0,4.00E-06,3.97E-06,3.95E-06,0.000004927,0.00000488,6.83E-06,6.80E-06,7.61E-06,7.63E-06,0.00000951,0.000037276,0.00004616
